data[0] size (num: 29, frame: 94)
(11,  3) dt:(frame:   33, time:2.4415), r: -0.7212988
(11,  3) dt:(frame:   34, time:2.5161), r: -0.7500156
(11,  3) dt:(frame:   35, time:2.5876), r: -0.7639756
(11,  3) dt:(frame:   48, time:3.5813), r: 0.7012509
(11,  3) dt:(frame:   49, time:3.6537), r: 0.7593708
(11,  3) dt:(frame:   50, time:3.7235), r: 0.7780974
(11,  3) dt:(frame:   51, time:3.7910), r: 0.7258733
(11, 4): 
(11, 5): 
(11,  5) dt:(frame:   29, time:2.1404), r: -0.7839625
(11,  5) dt:(frame:   30, time:2.2142), r: -0.7445100
(11,  5) dt:(frame:   35, time:2.5876), r: -0.7088600
(11,  5) dt:(frame:   36, time:2.6597), r: -0.7184301
(11,  5) dt:(frame:   37, time:2.7374), r: -0.8076394
(11,  5) dt:(frame:   38, time:2.8152), r: -0.8865222
(11,  5) dt:(frame:   39, time:2.8938), r: -0.8417458
(11,  5) dt:(frame:   40, time:2.9721), r: -0.7981076
(11,  5) dt:(frame:   41, time:3.0418), r: -0.8283195
(11,  5) dt:(frame:   42, time:3.1134), r: -0.7507353
(11,  5) dt:(frame:   59, time:4.3708), r: 0.7092840
(11,  5) dt:(frame:   60, time:4.4433), r: 0.7385555
(11,  5) dt:(frame:   61, time:4.5209), r: 0.7055812
(11, 6): 
(11,  6) dt:(frame:   39, time:2.8938), r: -0.7163052
(11,  6) dt:(frame:   40, time:2.9721), r: -0.7302493
(11,  6) dt:(frame:   54, time:4.0031), r: 0.7080498
(11, 7): 
(11,  7) dt:(frame:   34, time:2.5161), r: -0.7009932
(11,  7) dt:(frame:   35, time:2.5876), r: -0.7814309
(11,  7) dt:(frame:   36, time:2.6597), r: -0.7395392
(11,  7) dt:(frame:   56, time:4.1475), r: 0.7275373
(11,  7) dt:(frame:   57, time:4.2201), r: 0.7098443
(11,  7) dt:(frame:   58, time:4.2933), r: 0.7766375
(11,  7) dt:(frame:   60, time:4.4433), r: 0.7323849
(11, 8): 
(11,  8) dt:(frame:   -1, time:-0.0781), r: 0.7011309
(11, 9): 
(11,  9) dt:(frame:   28, time:2.0666), r: 0.7703344
(11,  9) dt:(frame:   29, time:2.1404), r: 0.7376723
(11, 10): 
(11, 10) dt:(frame:   21, time:1.5564), r: -0.7647228
(11, 10) dt:(frame:   37, time:2.7374), r: 0.7089701
(11, 10) dt:(frame:   39, time:2.8938), r: 0.7522189
(11, 11): 
(11, 11) dt:(frame:   37, time:2.7374), r: 0.7336226
(11, 11) dt:(frame:   38, time:2.8152), r: 0.7266243
(11, 11) dt:(frame:   39, time:2.8938), r: 0.8405393
(11, 12): 
(11, 12) dt:(frame:   34, time:2.5161), r: -0.7626365
(11, 12) dt:(frame:   35, time:2.5876), r: -0.7667270
(11, 12) dt:(frame:   45, time:3.3655), r: -0.7286615
(11, 12) dt:(frame:   46, time:3.4369), r: -0.7471865
(11, 12) dt:(frame:   47, time:3.5096), r: -0.8123916
(11, 12) dt:(frame:   48, time:3.5813), r: -0.7394602
(11, 12) dt:(frame:   56, time:4.1475), r: -0.7056432
(11, 13): 
(11, 13) dt:(frame:   43, time:3.1851), r: -0.7761500
(11, 13) dt:(frame:   44, time:3.2556), r: -0.7483866
(11, 14): 
(11, 14) dt:(frame:   20, time:1.4853), r: -0.7540955
(11, 14) dt:(frame:   21, time:1.5564), r: -0.8012989
(11, 14) dt:(frame:   22, time:1.6264), r: -0.8134107
(11, 14) dt:(frame:   23, time:1.7016), r: -0.8573440
(11, 14) dt:(frame:   24, time:1.7787), r: -0.7552630
(11, 14) dt:(frame:   36, time:2.6597), r: 0.7398201
(11, 14) dt:(frame:   37, time:2.7374), r: 0.7579411
(11, 14) dt:(frame:   38, time:2.8152), r: 0.7680395
(11, 14) dt:(frame:   39, time:2.8938), r: 0.7820946
(11, 14) dt:(frame:   40, time:2.9721), r: 0.8091299
(11, 14) dt:(frame:   41, time:3.0418), r: 0.8324576
(11, 14) dt:(frame:   42, time:3.1134), r: 0.7363732
(11, 15): 
(11, 15) dt:(frame:   23, time:1.7016), r: -0.7006762
(11, 15) dt:(frame:   37, time:2.7374), r: 0.8411499
(11, 15) dt:(frame:   38, time:2.8152), r: 0.7278641
(11, 16): 
(11, 16) dt:(frame:   39, time:2.8938), r: 0.7235256
(11, 17): 
(11, 17) dt:(frame:   42, time:3.1134), r: 0.7902325
(11, 17) dt:(frame:   43, time:3.1851), r: 0.7696295
(11, 18): 
(11, 19): 
(11, 20): 
(11, 20) dt:(frame:   33, time:2.4415), r: 0.7051315
(11, 20) dt:(frame:   34, time:2.5161), r: 0.7249958
(11, 20) dt:(frame:   35, time:2.5876), r: 0.7598693
(11, 20) dt:(frame:   36, time:2.6597), r: 0.7635050
(11, 20) dt:(frame:   37, time:2.7374), r: 0.7827008
(11, 20) dt:(frame:   38, time:2.8152), r: 0.8007886
(11, 20) dt:(frame:   39, time:2.8938), r: 0.7623395
(11, 21): 
(11, 21) dt:(frame:   34, time:2.5161), r: 0.7342361
(11, 21) dt:(frame:   35, time:2.5876), r: 0.7783930
(11, 21) dt:(frame:   36, time:2.6597), r: 0.7493355
(11, 21) dt:(frame:   37, time:2.7374), r: 0.7662866
(11, 21) dt:(frame:   38, time:2.8152), r: 0.7807614
(11, 21) dt:(frame:   39, time:2.8938), r: 0.7286174
(11, 21) dt:(frame:   57, time:4.2201), r: -0.7475342
(11, 21) dt:(frame:   59, time:4.3708), r: -0.7941168
(11, 22): 
(11, 23): 
(11, 24): 
(11, 25): 
(11, 25) dt:(frame:   34, time:2.5161), r: 0.7297450
(11, 25) dt:(frame:   35, time:2.5876), r: 0.7570632
(11, 25) dt:(frame:   36, time:2.6597), r: 0.7484374
(11, 25) dt:(frame:   37, time:2.7374), r: 0.7609752
(11, 25) dt:(frame:   38, time:2.8152), r: 0.7793280
(11, 25) dt:(frame:   39, time:2.8938), r: 0.7627533
(11, 25) dt:(frame:   40, time:2.9721), r: 0.7392421
(11, 25) dt:(frame:   56, time:4.1475), r: -0.7156968
(11, 25) dt:(frame:   57, time:4.2201), r: -0.7301426
(11, 25) dt:(frame:   58, time:4.2933), r: -0.7179732
(11, 25) dt:(frame:   59, time:4.3708), r: -0.7134243
(11, 26): 
(11, 26) dt:(frame:   34, time:2.5161), r: 0.7734377
